product_code,product_name
Antiseptic_Liquid_10000001,欢宝妇洁康洗液
Antiseptic_Liquid_10000002,诗乐士妇女清洁液
Antiseptic_Liquid_10000003,源安堂肤阴洁洗液
Antiseptic_Liquid_10000004,宝剑滴露消毒水
Antiseptic_Liquid_10000005,宝剑滴露消毒水
Antiseptic_Liquid_10000006,宝剑滴露消毒水
Antiseptic_Liquid_10000007,恩威洁尔阴洗液
Antiseptic_Liquid_10000008,恩威洁尔阴洗液
Antiseptic_Liquid_10000009,娇妍女性护理液
Antiseptic_Liquid_10000010,娇妍女性护理液
Antiseptic_Liquid_10000011,威露士洗衣消毒药水
Antiseptic_Liquid_10000012,滴露衣物除菌液（清新松木）
Antiseptic_Liquid_10000013,娇研衣洁露衣物除菌液
Antiseptic_Liquid_10000014,宝洁康洗液
Antiseptic_Liquid_10000015,宝洁康洗液
Antiseptic_Liquid_10000016,沙威隆消毒液
Antiseptic_Liquid_10000017,宝剑滴露消毒水250ML+清新沐浴露300ML+
Antiseptic_Liquid_10000018,仁和伊康美宝妇炎洁洗液
Antiseptic_Liquid_10000019,ABC卫生护理液
Antiseptic_Liquid_10000020,妇炎洁洗液
Antiseptic_Liquid_10000021,威露士家用消毒液
Antiseptic_Liquid_10000022,威露士家用消毒液促销装
Antiseptic_Liquid_10000023,威猛先生浓缩表面清洁消毒液（清新柠檬香型）
Antiseptic_Liquid_10000024,滴露消毒液
Antiseptic_Liquid_10000025,滴露清新柠檬衣物除菌液加量装
Antiseptic_Liquid_10000026,滴露消毒液送250g健康抑菌洗水液
Antiseptic_Liquid_10000027,滴露新新柠檬衣物除菌液促销装
Antiseptic_Liquid_10000028,宝剑滴露消毒液送滴露香皂促销装
Antiseptic_Liquid_10000029,威露士衣物家居消毒液
Antiseptic_Liquid_10000030,ABC中药卫生护理液
Baby_Food_10000001,惠氏S_26上海产奶粉
Baby_Food_10000002,惠氏S_26上海产奶粉
Baby_Food_10000003,惠氏健儿乐上海产奶粉
Baby_Food_10000004,力多精1号婴儿奶粉
Baby_Food_10000005,力多精2号婴儿奶粉
Baby_Food_10000006,美赞臣安儿宝婴儿配方奶粉A+(3段)
Baby_Food_10000007,美赞臣安婴宝奶粉(2段)
Baby_Food_10000008,美赞臣安婴儿奶粉(1段)
Baby_Food_10000009,雀巢力多精1段配方奶粉
Baby_Food_10000010,雀巢力多精2段配方奶粉（6-18个
Baby_Food_10000011,惠氏上海健儿乐奶粉
Baby_Food_10000012,完达山1段配方奶粉
Baby_Food_10000013,完达山2段配方奶粉
Baby_Food_10000014,惠氏幼儿乐奶粉
Baby_Food_10000015,惠氏幼儿乐奶粉
Baby_Food_10000016,雅培金装喜康宝
Baby_Food_10000017,雅培喜康力
Baby_Food_10000018,三鹿儿童高钙奶粉
Baby_Food_10000019,雀巢成长奶粉
Baby_Food_10000020,安怡低脂高钙奶粉
Baby_Food_10000021,绿洲全脂奶粉
Baby_Food_10000022,雀巢高钙高铁奶粉
Baby_Food_10000023,雀巢高钙高铁奶粉
Baby_Food_10000024,雀巢全脂奶粉
Baby_Food_10000025,雀巢全脂奶粉
Baby_Food_10000026,雀巢全脂甜奶奶粉
Baby_Food_10000027,三鹿女士低脂高钙奶粉
Baby_Food_10000028,三鹿青壮年高钙奶粉
Baby_Food_10000029,完达山高钙高铁低脂奶粉
Baby_Food_10000030,雅士利成长奶粉
Baby_Food_10000031,油花奶粉
